2023-04-19T01:40:00.857Z - Memory Usage  : 2885836
2023-04-19T01:45:21.445Z - Memory Usage  : 2.760150909423828
2023-04-19T01:45:32.646Z - Memory Usage  : 2.7520370483398438
2023-04-19T01:46:08.096Z - Memory Usage  : 2.7810630798339844 
2023-04-19T01:46:09.852Z - Memory Usage  : 2.7570571899414062 Mb
2023-04-19T01:46:10.875Z - Memory Usage  : 2.760223388671875 Mbs
2023-04-19T01:46:47.390Z - Memory Usage  : 2.7520828247070312 - Mbs
2023-04-19T01:46:49.860Z - Memory Usage  : 2.752117156982422 - Mbs
2023-04-19T01:46:52.260Z - Memory Usage  : 2.752086639404297 - Mbs
2023-04-19T01:46:56.679Z - Memory Usage  : 2.760265350341797 - Mbs
2023-04-19T01:46:59.934Z - Memory Usage  : 2.747833251953125 - Mbs
2023-04-19T01:47:02.277Z - Memory Usage  : 2.781116485595703 - Mbs
2023-04-19T01:47:06.450Z - Memory Usage  : 2.7507286071777344 - Mbs
2023-04-19T01:47:08.198Z - Memory Usage  : 2.781116485595703 - Mbs
